id,texto
378,Comprei um tênis novo da Adidas #Fashion
379,Nike lançou uma nova coleção #Moda
380,Samsung lançou um celular incrível #Tech
381,Galaxy S30 é o melhor celular #Samsung
382,Amei o novo iPhone! #Apple
383,Desconto de 50% em eletrônicos #Promoção
384,Samsung lançou um celular incrível #Tech
385,Samsung lançou um celular incrível #Tech
386,Galaxy S30 é o melhor celular #Samsung
387,Desconto de 50% em eletrônicos #Promoção
388,Nike lançou uma nova coleção #Moda
389,Amei o novo iPhone! #Apple
390,Nike lançou uma nova coleção #Moda
391,Promoção imperdível da Nike! #Desconto
392,Adidas com ofertas incríveis hoje #Sale
393,Galaxy S30 é o melhor celular #Samsung
394,Comprei um tênis novo da Adidas #Fashion
395,Desconto de 50% em eletrônicos #Promoção
396,Não gostei do atendimento da loja #Reclamação
397,Não gostei do atendimento da loja #Reclamação
398,Nike lançou uma nova coleção #Moda
399,Comprei um tênis novo da Adidas #Fashion
400,Promoção imperdível da Nike! #Desconto
401,Amei o novo iPhone! #Apple
402,Comprei um tênis novo da Adidas #Fashion
403,Galaxy S30 é o melhor celular #Samsung
404,Promoção imperdível da Nike! #Desconto
405,Adidas com ofertas incríveis hoje #Sale
406,Desconto de 50% em eletrônicos #Promoção
407,Amei o novo iPhone! #Apple
408,Adidas com ofertas incríveis hoje #Sale
409,Amei o novo iPhone! #Apple
410,Adidas com ofertas incríveis hoje #Sale
411,Nike lançou uma nova coleção #Moda
412,Desconto de 50% em eletrônicos #Promoção
413,Samsung lançou um celular incrível #Tech
414,Apple anunciou novos recursos #Tecnologia
415,Não gostei do atendimento da loja #Reclamação
416,Amei o novo iPhone! #Apple
417,Desconto de 50% em eletrônicos #Promoção
418,Comprei um tênis novo da Adidas #Fashion
419,Amei o novo iPhone! #Apple
420,Desconto de 50% em eletrônicos #Promoção
421,Nike lançou uma nova coleção #Moda
422,Comprei um tênis novo da Adidas #Fashion
423,Comprei um tênis novo da Adidas #Fashion
424,Apple anunciou novos recursos #Tecnologia
425,Nike lançou uma nova coleção #Moda
426,Não gostei do atendimento da loja #Reclamação
427,Promoção imperdível da Nike! #Desconto
428,Não gostei do atendimento da loja #Reclamação
429,Samsung lançou um celular incrível #Tech
430,Não gostei do atendimento da loja #Reclamação
431,Galaxy S30 é o melhor celular #Samsung
432,Desconto de 50% em eletrônicos #Promoção
433,Galaxy S30 é o melhor celular #Samsung
434,Promoção imperdível da Nike! #Desconto
435,Apple anunciou novos recursos #Tecnologia
436,Samsung lançou um celular incrível #Tech
437,Comprei um tênis novo da Adidas #Fashion
438,Samsung lançou um celular incrível #Tech
439,Galaxy S30 é o melhor celular #Samsung
440,Desconto de 50% em eletrônicos #Promoção
441,Desconto de 50% em eletrônicos #Promoção
442,Não gostei do atendimento da loja #Reclamação
443,Amei o novo iPhone! #Apple
444,Não gostei do atendimento da loja #Reclamação
445,Promoção imperdível da Nike! #Desconto
446,Galaxy S30 é o melhor celular #Samsung
447,Galaxy S30 é o melhor celular #Samsung
448,Apple anunciou novos recursos #Tecnologia
449,Adidas com ofertas incríveis hoje #Sale
450,Galaxy S30 é o melhor celular #Samsung
451,Comprei um tênis novo da Adidas #Fashion
452,Comprei um tênis novo da Adidas #Fashion
453,Promoção imperdível da Nike! #Desconto
454,Comprei um tênis novo da Adidas #Fashion
455,Galaxy S30 é o melhor celular #Samsung
456,Samsung lançou um celular incrível #Tech
457,Promoção imperdível da Nike! #Desconto
458,Samsung lançou um celular incrível #Tech
459,Nike lançou uma nova coleção #Moda
460,Nike lançou uma nova coleção #Moda
461,Amei o novo iPhone! #Apple
462,Samsung lançou um celular incrível #Tech
463,Não gostei do atendimento da loja #Reclamação
464,Adidas com ofertas incríveis hoje #Sale
465,Desconto de 50% em eletrônicos #Promoção
466,Não gostei do atendimento da loja #Reclamação
467,Promoção imperdível da Nike! #Desconto
468,Apple anunciou novos recursos #Tecnologia
469,Comprei um tênis novo da Adidas #Fashion
470,Adidas com ofertas incríveis hoje #Sale
471,Amei o novo iPhone! #Apple
472,Promoção imperdível da Nike! #Desconto
473,Samsung lançou um celular incrível #Tech
474,Samsung lançou um celular incrível #Tech
475,Adidas com ofertas incríveis hoje #Sale
476,Amei o novo iPhone! #Apple
477,Comprei um tênis novo da Adidas #Fashion
478,Apple anunciou novos recursos #Tecnologia
479,Promoção imperdível da Nike! #Desconto
480,Não gostei do atendimento da loja #Reclamação
481,Galaxy S30 é o melhor celular #Samsung
482,Comprei um tênis novo da Adidas #Fashion
483,Galaxy S30 é o melhor celular #Samsung
484,Promoção imperdível da Nike! #Desconto
485,Adidas com ofertas incríveis hoje #Sale
486,Promoção imperdível da Nike! #Desconto
487,Promoção imperdível da Nike! #Desconto
488,Amei o novo iPhone! #Apple
489,Apple anunciou novos recursos #Tecnologia
490,Não gostei do atendimento da loja #Reclamação
491,Amei o novo iPhone! #Apple
492,Amei o novo iPhone! #Apple
493,Apple anunciou novos recursos #Tecnologia
494,Promoção imperdível da Nike! #Desconto
495,Desconto de 50% em eletrônicos #Promoção
496,Galaxy S30 é o melhor celular #Samsung
497,Desconto de 50% em eletrônicos #Promoção
498,Não gostei do atendimento da loja #Reclamação
499,Galaxy S30 é o melhor celular #Samsung
500,Adidas com ofertas incríveis hoje #Sale
501,Não gostei do atendimento da loja #Reclamação
502,Samsung lançou um celular incrível #Tech
503,Promoção imperdível da Nike! #Desconto
504,Não gostei do atendimento da loja #Reclamação
505,Promoção imperdível da Nike! #Desconto
506,Galaxy S30 é o melhor celular #Samsung
507,Samsung lançou um celular incrível #Tech
508,Comprei um tênis novo da Adidas #Fashion
509,Nike lançou uma nova coleção #Moda
510,Desconto de 50% em eletrônicos #Promoção
511,Galaxy S30 é o melhor celular #Samsung
512,Samsung lançou um celular incrível #Tech
513,Samsung lançou um celular incrível #Tech
514,Apple anunciou novos recursos #Tecnologia
515,Apple anunciou novos recursos #Tecnologia
516,Samsung lançou um celular incrível #Tech
517,Galaxy S30 é o melhor celular #Samsung
518,Galaxy S30 é o melhor celular #Samsung
519,Promoção imperdível da Nike! #Desconto
520,Promoção imperdível da Nike! #Desconto
521,Promoção imperdível da Nike! #Desconto
522,Samsung lançou um celular incrível #Tech
523,Samsung lançou um celular incrível #Tech
524,Samsung lançou um celular incrível #Tech
525,Comprei um tênis novo da Adidas #Fashion
526,Apple anunciou novos recursos #Tecnologia
527,Apple anunciou novos recursos #Tecnologia
528,Apple anunciou novos recursos #Tecnologia
529,Promoção imperdível da Nike! #Desconto
530,Comprei um tênis novo da Adidas #Fashion
531,Apple anunciou novos recursos #Tecnologia
532,Nike lançou uma nova coleção #Moda
533,Não gostei do atendimento da loja #Reclamação
534,Não gostei do atendimento da loja #Reclamação
535,Amei o novo iPhone! #Apple
536,Promoção imperdível da Nike! #Desconto
537,Comprei um tênis novo da Adidas #Fashion
538,Desconto de 50% em eletrônicos #Promoção
539,Nike lançou uma nova coleção #Moda
540,Galaxy S30 é o melhor celular #Samsung
541,Galaxy S30 é o melhor celular #Samsung
542,Apple anunciou novos recursos #Tecnologia
543,Samsung lançou um celular incrível #Tech
544,Samsung lançou um celular incrível #Tech
545,Promoção imperdível da Nike! #Desconto
546,Apple anunciou novos recursos #Tecnologia
547,Não gostei do atendimento da loja #Reclamação
548,Desconto de 50% em eletrônicos #Promoção
549,Amei o novo iPhone! #Apple
550,Samsung lançou um celular incrível #Tech
551,Apple anunciou novos recursos #Tecnologia
552,Comprei um tênis novo da Adidas #Fashion
553,Samsung lançou um celular incrível #Tech
554,Promoção imperdível da Nike! #Desconto
555,Promoção imperdível da Nike! #Desconto
556,Nike lançou uma nova coleção #Moda
557,Nike lançou uma nova coleção #Moda
558,Nike lançou uma nova coleção #Moda
559,Comprei um tênis novo da Adidas #Fashion
560,Promoção imperdível da Nike! #Desconto
561,Samsung lançou um celular incrível #Tech
562,Amei o novo iPhone! #Apple
563,Promoção imperdível da Nike! #Desconto
564,Desconto de 50% em eletrônicos #Promoção
565,Não gostei do atendimento da loja #Reclamação
566,Galaxy S30 é o melhor celular #Samsung
567,Samsung lançou um celular incrível #Tech
568,Desconto de 50% em eletrônicos #Promoção
569,Amei o novo iPhone! #Apple
570,Não gostei do atendimento da loja #Reclamação
571,Nike lançou uma nova coleção #Moda
572,Nike lançou uma nova coleção #Moda
573,Desconto de 50% em eletrônicos #Promoção
574,Galaxy S30 é o melhor celular #Samsung
575,Samsung lançou um celular incrível #Tech
576,Apple anunciou novos recursos #Tecnologia
577,Adidas com ofertas incríveis hoje #Sale
578,Adidas com ofertas incríveis hoje #Sale
579,Comprei um tênis novo da Adidas #Fashion
580,Samsung lançou um celular incrível #Tech
581,Apple anunciou novos recursos #Tecnologia
582,Apple anunciou novos recursos #Tecnologia
583,Nike lançou uma nova coleção #Moda
584,Samsung lançou um celular incrível #Tech
585,Promoção imperdível da Nike! #Desconto
586,Nike lançou uma nova coleção #Moda
587,Comprei um tênis novo da Adidas #Fashion
588,Samsung lançou um celular incrível #Tech
589,Promoção imperdível da Nike! #Desconto
590,Comprei um tênis novo da Adidas #Fashion
591,Apple anunciou novos recursos #Tecnologia
592,Galaxy S30 é o melhor celular #Samsung
593,Apple anunciou novos recursos #Tecnologia
594,Samsung lançou um celular incrível #Tech
595,Samsung lançou um celular incrível #Tech
596,Nike lançou uma nova coleção #Moda
597,Comprei um tênis novo da Adidas #Fashion
598,Amei o novo iPhone! #Apple
599,Promoção imperdível da Nike! #Desconto
600,Amei o novo iPhone! #Apple
601,Nike lançou uma nova coleção #Moda
602,Nike lançou uma nova coleção #Moda
603,Galaxy S30 é o melhor celular #Samsung
604,Amei o novo iPhone! #Apple
605,Desconto de 50% em eletrônicos #Promoção
606,Não gostei do atendimento da loja #Reclamação
607,Apple anunciou novos recursos #Tecnologia
608,Adidas com ofertas incríveis hoje #Sale
609,Nike lançou uma nova coleção #Moda
610,Samsung lançou um celular incrível #Tech
611,Não gostei do atendimento da loja #Reclamação
612,Amei o novo iPhone! #Apple
613,Galaxy S30 é o melhor celular #Samsung
614,Não gostei do atendimento da loja #Reclamação
615,Não gostei do atendimento da loja #Reclamação
616,Não gostei do atendimento da loja #Reclamação
617,Samsung lançou um celular incrível #Tech
618,Desconto de 50% em eletrônicos #Promoção
619,Não gostei do atendimento da loja #Reclamação
620,Galaxy S30 é o melhor celular #Samsung
621,Samsung lançou um celular incrível #Tech
622,Promoção imperdível da Nike! #Desconto
623,Nike lançou uma nova coleção #Moda
624,Nike lançou uma nova coleção #Moda
625,Samsung lançou um celular incrível #Tech
626,Adidas com ofertas incríveis hoje #Sale
627,Adidas com ofertas incríveis hoje #Sale
628,Apple anunciou novos recursos #Tecnologia
629,Apple anunciou novos recursos #Tecnologia
630,Comprei um tênis novo da Adidas #Fashion
631,Promoção imperdível da Nike! #Desconto
632,Galaxy S30 é o melhor celular #Samsung
633,Desconto de 50% em eletrônicos #Promoção
634,Galaxy S30 é o melhor celular #Samsung
635,Nike lançou uma nova coleção #Moda
636,Desconto de 50% em eletrônicos #Promoção
637,Adidas com ofertas incríveis hoje #Sale
638,Não gostei do atendimento da loja #Reclamação
639,Galaxy S30 é o melhor celular #Samsung
640,Galaxy S30 é o melhor celular #Samsung
641,Não gostei do atendimento da loja #Reclamação
642,Adidas com ofertas incríveis hoje #Sale
643,Apple anunciou novos recursos #Tecnologia
644,Samsung lançou um celular incrível #Tech
645,Amei o novo iPhone! #Apple
646,Amei o novo iPhone! #Apple
647,Adidas com ofertas incríveis hoje #Sale
648,Galaxy S30 é o melhor celular #Samsung
649,Comprei um tênis novo da Adidas #Fashion
650,Comprei um tênis novo da Adidas #Fashion
651,Promoção imperdível da Nike! #Desconto
